instance,capacity,total_demand,num_clientes,heuristic,local_search,cost,num_routes,time,gap,best_known,status,msg
instancias/2l-cvrp-0/E076-14s.dat,100,1364,76,cw,swap,1033.83,14,0.0356056,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14s.dat,100,1364,76,cw,relocate,1033.83,14,0.0336835,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14s.dat,100,1364,76,cw,both,1033.83,14,0.065968,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14s.dat,100,1364,76,ni,none,1065.75,14,0.000689541,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14s.dat,100,1364,76,ni,swap,1014.56,14,0.0352302,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14s.dat,100,1364,76,ni,relocate,1013.36,14,0.0341236,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14s.dat,100,1364,76,ni,both,963.514,14,0.0664435,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14s.dat,100,1364,76,grasp,none,0.0,0,603.762,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E023-03g.dat,4500,10189,23,cw,none,621.087,3,0.000161,,,ok,
instancias/2l-cvrp-0/E023-03g.dat,4500,10189,23,cw,swap,621.087,3,0.000254291,,,ok,
instancias/2l-cvrp-0/E023-03g.dat,4500,10189,23,cw,relocate,621.087,3,0.0002795,,,ok,
instancias/2l-cvrp-0/E023-03g.dat,4500,10189,23,cw,both,621.087,3,0.000388208,,,ok,
instancias/2l-cvrp-0/E023-03g.dat,4500,10189,23,ni,none,424.811,3,0.000103792,,,ok,
instancias/2l-cvrp-0/E023-03g.dat,4500,10189,23,ni,swap,416.747,3,0.000650292,,,ok,
instancias/2l-cvrp-0/E023-03g.dat,4500,10189,23,ni,relocate,414.922,3,0.000284041,,,ok,
instancias/2l-cvrp-0/E023-03g.dat,4500,10189,23,ni,both,406.858,3,0.000309541,,,ok,
instancias/2l-cvrp-0/E023-03g.dat,4500,10189,23,grasp,none,452.167,3,0.255528,,,ok,
instancias/2l-cvrp-0/E135-07f.dat,2210,14620,135,cw,none,1219.32,7,0.0113841,4.846615005210863,1162.956,ok,
instancias/2l-cvrp-0/E135-07f.dat,2210,14620,135,cw,swap,1219.32,7,0.0179777,4.846615005210863,1162.956,ok,
instancias/2l-cvrp-0/E135-07f.dat,2210,14620,135,cw,relocate,1219.32,7,0.0169991,4.846615005210863,1162.956,ok,
instancias/2l-cvrp-0/E135-07f.dat,2210,14620,135,cw,both,1219.32,7,0.02712,4.846615005210863,1162.956,ok,
instancias/2l-cvrp-0/E135-07f.dat,2210,14620,135,ni,none,1219.5,7,0.00072475,4.862092804886866,1162.956,ok,
instancias/2l-cvrp-0/E135-07f.dat,2210,14620,135,ni,swap,1160.03,7,0.0105126,-0.2516002325109403,1162.956,ok,
instancias/2l-cvrp-0/E135-07f.dat,2210,14620,135,ni,relocate,1174.68,7,0.00951225,1.0081206855633542,1162.956,ok,
instancias/2l-cvrp-0/E135-07f.dat,2210,14620,135,ni,both,1127.83,7,0.0223252,-3.020406618995042,1162.956,ok,
instancias/2l-cvrp-0/E135-07f.dat,2210,14620,135,grasp,none,1395.47,7,17.7703,19.99336174369453,1162.956,ok,
instancias/2l-cvrp-0/E033-04g.dat,8000,29370,33,cw,none,843.098,4,0.000288541,,,ok,
instancias/2l-cvrp-0/E033-04g.dat,8000,29370,33,cw,swap,843.098,4,0.000546667,,,ok,
instancias/2l-cvrp-0/E033-04g.dat,8000,29370,33,cw,relocate,843.098,4,0.000563042,,,ok,
instancias/2l-cvrp-0/E033-04g.dat,8000,29370,33,cw,both,843.098,4,0.000812875,,,ok,
instancias/2l-cvrp-0/E033-04g.dat,8000,29370,33,ni,none,357.769,4,9.3459e-05,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E033-04g.dat,8000,29370,33,ni,swap,346.779,4,0.000395458,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E033-04g.dat,8000,29370,33,ni,relocate,333.085,4,0.000398167,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E033-04g.dat,8000,29370,33,ni,both,322.095,4,0.000688792,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E033-04g.dat,8000,29370,33,grasp,none,476.349,4,0.683875,,,ok,
instancias/2l-cvrp-0/E101C11r.dat,2043,20999,101,cw,none,1434.07,11,0.00385471,,,ok,
instancias/2l-cvrp-0/E101C11r.dat,2043,20999,101,cw,swap,1434.07,11,0.0300638,,,ok,
instancias/2l-cvrp-0/E101C11r.dat,2043,20999,101,cw,relocate,1429.58,11,0.0300524,,,ok,
instancias/2l-cvrp-0/E101C11r.dat,2043,20999,101,cw,both,1429.58,11,0.0560969,,,ok,
instancias/2l-cvrp-0/E101C11r.dat,2043,20999,101,ni,none,1187.4,11,0.000779834,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E101C11r.dat,2043,20999,101,ni,swap,1167.91,11,0.027378,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E101C11r.dat,2043,20999,101,ni,relocate,1113.58,11,0.0277415,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E101C11r.dat,2043,20999,101,ni,both,1105.72,11,0.0542781,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E101C11r.dat,2043,20999,101,grasp,none,1375.16,11,366.885,,,ok,
instancias/2l-cvrp-0/E076-08u.dat,180,1364,76,cw,none,794.741,8,0.00177771,7.024005429703386,742.582,ok,
instancias/2l-cvrp-0/E076-08u.dat,180,1364,76,cw,swap,791.512,8,0.00714442,6.589171296907271,742.582,ok,
instancias/2l-cvrp-0/E076-08u.dat,180,1364,76,cw,relocate,793.222,8,0.00720846,6.81944889587951,742.582,ok,
instancias/2l-cvrp-0/E076-08u.dat,180,1364,76,cw,both,791.512,8,0.012907,6.589171296907271,742.582,ok,
instancias/2l-cvrp-0/E076-08u.dat,180,1364,76,ni,none,1088.03,8,0.000299333,46.519845619743,742.582,ok,
instancias/2l-cvrp-0/E076-08u.dat,180,1364,76,ni,swap,1057.78,8,0.00631987,42.446221427397916,742.582,ok,
instancias/2l-cvrp-0/E076-08u.dat,180,1364,76,ni,relocate,1074.25,8,0.00588221,44.66415830170944,742.582,ok,
instancias/2l-cvrp-0/E076-08u.dat,180,1364,76,ni,both,1040.09,8,0.0119178,40.06399293276701,742.582,ok,
instancias/2l-cvrp-0/E076-08u.dat,180,1364,76,grasp,none,801.787,8,11.8656,7.972856869679044,742.582,ok,
instancias/2l-cvrp-0/E101A11r.dat,1409,15203,101,cw,none,1932.66,11,0.00381846,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E101A11r.dat,1409,15203,101,cw,swap,1932.66,11,0.0327698,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E101A11r.dat,1409,15203,101,cw,relocate,1931.95,11,0.0307333,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E101A11r.dat,1409,15203,101,cw,both,1931.95,11,0.0580116,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E101A11r.dat,1409,15203,101,ni,none,1281.21,11,0.000762917,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E101A11r.dat,1409,15203,101,ni,swap,1214.74,11,0.0270797,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E101A11r.dat,1409,15203,101,ni,relocate,1198.5,11,0.0273219,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E101A11r.dat,1409,15203,101,ni,both,1181.72,11,0.0557175,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E101A11r.dat,1409,15203,101,grasp,none,0.0,0,953.105,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-04g.dat,6000,22500,22,cw,none,388.772,4,0.000153584,,,ok,
instancias/2l-cvrp-0/E022-04g.dat,6000,22500,22,cw,swap,385.497,4,0.000419083,,,ok,
